Date,Model,Region,Units_Sold,Unit_Price,Revenue
2025-04-01,iPhone 16 Pro,West,387,1200,464400
2025-05-01,iPhone 11,North,181,450,81450
2025-05-01,iPhone 11,South,128,450,57600
2025-05-01,iPhone 11,East,355,450,159750
2025-05-01,iPhone 11,West,275,450,123750
2025-05-01,iPhone 12,North,222,550,122100
2025-05-01,iPhone 12,South,349,550,191950
2025-05-01,iPhone 12,East,254,550,139700
2025-05-01,iPhone 12,West,93,550,51150
2025-05-01,iPhone 13,North,155,650,100750
2025-05-01,iPhone 13,South,91,650,59150
2025-05-01,iPhone 13,East,146,650,94900
2025-05-01,iPhone 13,West,401,650,260650
2025-05-01,iPhone 14,North,307,750,230250
2025-05-01,iPhone 14,South,295,750,221250
2025-05-01,iPhone 14,East,154,750,115500
2025-05-01,iPhone 14,West,402,750,301500
2025-05-01,iPhone 15,North,319,850,271150
2025-05-01,iPhone 15,South,239,850,203150
2025-05-01,iPhone 15,East,318,850,270300
2025-05-01,iPhone 15,West,224,850,190400
2025-05-01,iPhone 15 Pro,North,205,1050,215250
2025-05-01,iPhone 15 Pro,South,132,1050,138600
2025-05-01,iPhone 15 Pro,East,90,1050,94500
2025-05-01,iPhone 15 Pro,West,280,1050,294000
2025-05-01,iPhone 16,North,272,950,258400
2025-05-01,iPhone 16,South,66,950,62700
2025-05-01,iPhone 16,East,406,950,385700
2025-05-01,iPhone 16,West,44,950,41800
2025-05-01,iPhone 16 Pro,North,76,1200,91200
2025-05-01,iPhone 16 Pro,South,98,1200,117600
2025-05-01,iPhone 16 Pro,East,341,1200,409200
2025-05-01,iPhone 16 Pro,West,101,1200,121200
2025-06-01,iPhone 11,North,425,450,191250
2025-06-01,iPhone 11,South,368,450,165600
2025-06-01,iPhone 11,East,236,450,106200
2025-06-01,iPhone 11,West,325,450,146250
2025-06-01,iPhone 12,North,52,550,28600
2025-06-01,iPhone 12,South,217,550,119350
2025-06-01,iPhone 12,East,215,550,118250
2025-06-01,iPhone 12,West,325,550,178750
2025-06-01,iPhone 13,North,259,650,168350
2025-06-01,iPhone 13,South,290,650,188500
2025-06-01,iPhone 13,East,148,650,96200
2025-06-01,iPhone 13,West,303,650,196950
2025-06-01,iPhone 14,North,25,750,18750
2025-06-01,iPhone 14,South,368,750,276000
2025-06-01,iPhone 14,East,389,750,291750
2025-06-01,iPhone 14,West,78,750,58500
2025-06-01,iPhone 15,North,369,850,313650
2025-06-01,iPhone 15,South,294,850,249900
2025-06-01,iPhone 15,East,404,850,343400
2025-06-01,iPhone 15,West,156,850,132600
2025-06-01,iPhone 15 Pro,North,413,1050,433650
2025-06-01,iPhone 15 Pro,South,348,1050,365400
2025-06-01,iPhone 15 Pro,East,194,1050,203700
2025-06-01,iPhone 15 Pro,West,77,1050,80850
2025-06-01,iPhone 16,North,170,950,161500
2025-06-01,iPhone 16,South,242,950,229900
2025-06-01,iPhone 16,East,100,950,95000
2025-06-01,iPhone 16,West,252,950,239400
2025-06-01,iPhone 16 Pro,North,21,1200,25200
2025-06-01,iPhone 16 Pro,South,389,1200,466800
2025-06-01,iPhone 16 Pro,East,388,1200,465600
2025-06-01,iPhone 16 Pro,West,154,1200,184800
2025-07-01,iPhone 11,North,276,450,124200
2025-07-01,iPhone 11,South,410,450,184500
2025-07-01,iPhone 11,East,111,450,49950
2025-07-01,iPhone 11,West,279,450,125550
2025-07-01,iPhone 12,North,74,550,40700
2025-07-01,iPhone 12,South,340,550,187000
2025-07-01,iPhone 12,East,172,550,94600
2025-07-01,iPhone 12,West,450,550,247500
2025-07-01,iPhone 13,North,347,650,225550
2025-07-01,iPhone 13,South,279,650,181350
2025-07-01,iPhone 13,East,331,650,215150
2025-07-01,iPhone 13,West,121,650,78650
2025-07-01,iPhone 14,North,98,750,73500
2025-07-01,iPhone 14,South,211,750,158250
2025-07-01,iPhone 14,East,410,750,307500
2025-07-01,iPhone 14,West,102,750,76500
2025-07-01,iPhone 15,North,296,850,251600
2025-07-01,iPhone 15,South,418,850,355300
2025-07-01,iPhone 15,East,291,850,247350
2025-07-01,iPhone 15,West,20,850,17000
2025-07-01,iPhone 15 Pro,North,326,1050,342300
2025-07-01,iPhone 15 Pro,South,185,1050,194250
2025-07-01,iPhone 15 Pro,East,270,1050,283500
2025-07-01,iPhone 15 Pro,West,29,1050,30450
2025-07-01,iPhone 16,North,77,950,73150
2025-07-01,iPhone 16,South,205,950,194750
2025-07-01,iPhone 16,East,445,950,422750
2025-07-01,iPhone 16,West,433,950,411350
2025-07-01,iPhone 16 Pro,North,177,1200,212400
2025-07-01,iPhone 16 Pro,South,142,1200,170400
2025-07-01,iPhone 16 Pro,East,49,1200,58800
2025-07-01,iPhone 16 Pro,West,143,1200,171600
2025-08-01,iPhone 11,North,310,450,139500
2025-08-01,iPhone 11,South,60,450,27000
2025-08-01,iPhone 11,East,63,450,28350
2025-08-01,iPhone 11,West,394,450,177300
2025-08-01,iPhone 12,North,268,550,147400
2025-08-01,iPhone 12,South,437,550,240350
2025-08-01,iPhone 12,East,55,550,30250
2025-08-01,iPhone 12,West,409,550,224950
2025-08-01,iPhone 13,North,292,650,189800
2025-08-01,iPhone 13,South,412,650,267800
2025-08-01,iPhone 13,East,84,650,54600
2025-08-01,iPhone 13,West,85,650,55250
2025-08-01,iPhone 14,North,357,750,267750
2025-08-01,iPhone 14,South,263,750,197250
2025-08-01,iPhone 14,East,301,750,225750
2025-08-01,iPhone 14,West,104,750,78000
2025-08-01,iPhone 15,North,155,850,131750
2025-08-01,iPhone 15,South,290,850,246500
2025-08-01,iPhone 15,East,330,850,280500
2025-08-01,iPhone 15,West,236,850,200600
2025-08-01,iPhone 15 Pro,North,128,1050,134400
2025-08-01,iPhone 15 Pro,South,296,1050,310800
2025-08-01,iPhone 15 Pro,East,406,1050,426300
2025-08-01,iPhone 15 Pro,West,393,1050,412650
2025-08-01,iPhone 16,North,373,950,354350
2025-08-01,iPhone 16,South,122,950,115900
2025-08-01,iPhone 16,East,385,950,365750
2025-08-01,iPhone 16,West,179,950,170050
2025-08-01,iPhone 16 Pro,North,224,1200,268800
2025-08-01,iPhone 16 Pro,South,363,1200,435600
2025-08-01,iPhone 16 Pro,East,352,1200,422400
2025-08-01,iPhone 16 Pro,West,211,1200,253200
2025-09-01,iPhone 11,North,244,450,109800
2025-09-01,iPhone 11,South,284,450,127800
2025-09-01,iPhone 11,East,251,450,112950
2025-09-01,iPhone 11,West,81,450,36450
2025-09-01,iPhone 12,North,146,550,80300
2025-09-01,iPhone 12,South,135,550,74250
2025-09-01,iPhone 12,East,52,550,28600
2025-09-01,iPhone 12,West,193,550,106150
2025-09-01,iPhone 13,North,30,650,19500
2025-09-01,iPhone 13,South,321,650,208650
2025-09-01,iPhone 13,East,303,650,196950
2025-09-01,iPhone 13,West,137,650,89050
2025-09-01,iPhone 14,North,321,750,240750
2025-09-01,iPhone 14,South,132,750,99000
2025-09-01,iPhone 14,East,23,750,17250
2025-09-01,iPhone 14,West,56,750,42000
2025-09-01,iPhone 15,North,382,850,324700
2025-09-01,iPhone 15,South,343,850,291550
2025-09-01,iPhone 15,East,50,850,42500
2025-09-01,iPhone 15,West,137,850,116450
2025-09-01,iPhone 15 Pro,North,54,1050,56700
2025-09-01,iPhone 15 Pro,South,36,1050,37800
2025-09-01,iPhone 15 Pro,East,189,1050,198450
2025-09-01,iPhone 15 Pro,West,56,1050,58800
2025-09-01,iPhone 16,North,283,950,268850
2025-09-01,iPhone 16,South,141,950,133950
2025-09-01,iPhone 16,East,162,950,153900
2025-09-01,iPhone 16,West,362,950,343900
2025-09-01,iPhone 16 Pro,North,268,1200,321600
2025-09-01,iPhone 16 Pro,South,129,1200,154800
2025-09-01,iPhone 16 Pro,East,296,1200,355200
2025-09-01,iPhone 16 Pro,West,87,1200,104400
2025-10-01,iPhone 11,North,390,450,175500
2025-10-01,iPhone 11,South,312,450,140400
2025-10-01,iPhone 11,East,315,450,141750
2025-10-01,iPhone 11,West,262,450,117900
2025-10-01,iPhone 12,North,144,550,79200
2025-10-01,iPhone 12,South,421,550,231550
2025-10-01,iPhone 12,East,262,550,144100
2025-10-01,iPhone 12,West,433,550,238150
2025-10-01,iPhone 13,North,228,650,148200
2025-10-01,iPhone 13,South,117,650,76050
2025-10-01,iPhone 13,East,68,650,44200
2025-10-01,iPhone 13,West,69,650,44850
2025-10-01,iPhone 14,North,357,750,267750
2025-10-01,iPhone 14,South,240,750,180000
2025-10-01,iPhone 14,East,201,750,150750
2025-10-01,iPhone 14,West,236,750,177000
2025-10-01,iPhone 15,North,230,850,195500
2025-10-01,iPhone 15,South,259,850,220150
2025-10-01,iPhone 15,East,393,850,334050
2025-10-01,iPhone 15,West,47,850,39950
2025-10-01,iPhone 15 Pro,North,364,1050,382200
2025-10-01,iPhone 15 Pro,South,354,1050,371700
2025-10-01,iPhone 15 Pro,East,350,1050,367500
2025-10-01,iPhone 15 Pro,West,70,1050,73500
2025-10-01,iPhone 16,North,51,950,48450
2025-10-01,iPhone 16,South,226,950,214700
2025-10-01,iPhone 16,East,392,950,372400
2025-10-01,iPhone 16,West,193,950,183350
2025-10-01,iPhone 16 Pro,North,429,1200,514800
2025-10-01,iPhone 16 Pro,South,75,1200,90000
2025-10-01,iPhone 16 Pro,East,147,1200,176400
2025-10-01,iPhone 16 Pro,West,118,1200,141600
2025-11-01,iPhone 11,North,117,450,52650
2025-11-01,iPhone 11,South,294,450,132300
2025-11-01,iPhone 11,East,249,450,112050
2025-11-01,iPhone 11,West,91,450,40950
2025-11-01,iPhone 12,North,236,550,129800
2025-11-01,iPhone 12,South,113,550,62150
2025-11-01,iPhone 12,East,162,550,89100
2025-11-01,iPhone 12,West,256,550,140800
2025-11-01,iPhone 13,North,147,650,95550
2025-11-01,iPhone 13,South,58,650,37700
2025-11-01,iPhone 13,East,246,650,159900
2025-11-01,iPhone 13,West,433,650,281450
2025-11-01,iPhone 14,North,301,750,225750
2025-11-01,iPhone 14,South,70,750,52500
2025-11-01,iPhone 14,East,45,750,33750
2025-11-01,iPhone 14,West,353,750,264750
2025-11-01,iPhone 15,North,296,850,251600
2025-11-01,iPhone 15,South,448,850,380800
2025-11-01,iPhone 15,East,27,850,22950
2025-11-01,iPhone 15,West,67,850,56950
2025-11-01,iPhone 15 Pro,North,405,1050,425250
2025-11-01,iPhone 15 Pro,South,141,1050,148050
2025-11-01,iPhone 15 Pro,East,105,1050,110250
2025-11-01,iPhone 15 Pro,West,228,1050,239400
2025-11-01,iPhone 16,North,268,950,254600
2025-11-01,iPhone 16,South,266,950,252700
2025-11-01,iPhone 16,East,129,950,122550
2025-11-01,iPhone 16,West,225,950,213750
2025-11-01,iPhone 16 Pro,North,50,1200,60000
2025-11-01,iPhone 16 Pro,South,104,1200,124800
2025-11-01,iPhone 16 Pro,East,214,1200,256800
2025-11-01,iPhone 16 Pro,West,21,1200,25200
2025-12-01,iPhone 11,North,219,450,98550
2025-12-01,iPhone 11,South,155,450,69750
2025-12-01,iPhone 11,East,421,450,189450
2025-12-01,iPhone 11,West,421,450,189450
2025-12-01,iPhone 12,North,252,550,138600
2025-12-01,iPhone 12,South,166,550,91300
2025-12-01,iPhone 12,East,236,550,129800
2025-12-01,iPhone 12,West,376,550,206800
2025-12-01,iPhone 13,North,394,650,256100
2025-12-01,iPhone 13,South,421,650,273650
2025-12-01,iPhone 13,East,304,650,197600
2025-12-01,iPhone 13,West,358,650,232700
2025-12-01,iPhone 14,North,387,750,290250
2025-12-01,iPhone 14,South,269,750,201750
2025-12-01,iPhone 14,East,99,750,74250
2025-12-01,iPhone 14,West,117,750,87750
2025-12-01,iPhone 15,North,171,850,145350
2025-12-01,iPhone 15,South,131,850,111350
2025-12-01,iPhone 15,East,49,850,41650
2025-12-01,iPhone 15,West,316,850,268600
2025-12-01,iPhone 15 Pro,North,396,1050,415800
2025-12-01,iPhone 15 Pro,South,297,1050,311850
2025-12-01,iPhone 15 Pro,East,51,1050,53550
2025-12-01,iPhone 15 Pro,West,402,1050,422100
2025-12-01,iPhone 16,North,180,950,171000
2025-12-01,iPhone 16,South,49,950,46550
2025-12-01,iPhone 16,East,45,950,42750
2025-12-01,iPhone 16,West,319,950,303050
2025-12-01,iPhone 16 Pro,North,264,1200,316800
2025-12-01,iPhone 16 Pro,South,277,1200,332400
2025-12-01,iPhone 16 Pro,East,291,1200,349200
2025-12-01,iPhone 16 Pro,West,100,1200,120000
